,Date_Reported,EventID,CaseID,Offense_Category,Offense_Description,Initial_Incident_Category,Initial_Incident_Description,Final_Incident_Category,Final_Incident_Description,Date_From,Date_To,Location,Location_Type,Disposition
0,2024-02-06 23:32,24-02-06-041188,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-02-06 23:32,2024-02-06 23:32,1100 Block Of  28TH ST,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
1,2024-02-06 22:11,24-02-06-041110,2400588,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-02-06 20:30,2024-02-06 20:35,JEFFERSON BLVD. STRUCTURE,On Campus,Open
2,2024-02-06 20:37,24-02-06-041008,2400587,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-02-06 20:37,2024-02-06 20:37,ROYAL STREET STRUCTURE,On Campus,Open
3,2024-02-06 19:10,24-02-06-040953,2400586,SERVICE,Incident Report - No Crime,SERVICE,Incident Report - No Crime,SERVICE,Incident Report - No Crime,2024-02-06 19:10,2024-02-06 19:10,UNIVERSITY VILLAGE ONE,On Campus Residential Facility,CLOSED
4,2024-02-06 19:01,24-02-06-040945,2400585,SERVICE,Incident Report - No Crime,SERVICE,Incident Report - No Crime,SERVICE,Incident Report - No Crime,2024-02-06 10:41,2024-02-06 13:10,SCHOOL OF CINEMATIC ARTS,On Campus,CLOSED
5,2024-02-06 17:45,24-02-06-040903,2400584,PROPERTY,Lost/Missing Property,PROPERTY,Lost/Missing Property,PROPERTY,Lost/Missing Property,2024-01-29 13:30,2024-01-29 14:00,ANNENBERG SCHOOL FOR COMMUNICATION,On Campus,Open
6,2024-02-06 17:03,24-02-06-040868,2400582,SERVICE,Illness Response,SERVICE,Illness Response,SERVICE,Illness Response,2024-02-06 17:03,2024-02-06 17:03,RONALD TUTOR CAMPUS CENTER,On Campus,Open
7,2024-02-06 16:59,24-02-06-040866,2400583,TRAFFIC,Traffic Collision With Injuries,ADMINISTRATIVE,Camera Observation,TRAFFIC,Traffic Collision With Injuries,2024-02-06 16:59,2024-02-06 16:59,JEFFERSON BL & BUDLONG AV,Non-reportable location,Open
8,2024-02-06 16:08,24-02-06-040819,2400581,VANDALISM,Vandalism,PROPERTY,Damaged Property,VANDALISM,Vandalism,2024-02-05 19:00,2024-02-06 11:00,600 Block Of  28TH ST,Non-reportable location,Open
9,2024-02-06 13:45,24-02-06-040688,2400579,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-02-06 11:30,2024-02-06 12:15,ANNENBERG SCHOOL FOR COMMUNICATION,On Campus,Open
10,2024-02-06 13:05,24-02-06-040632,2400580,BURGLARY,Burglary-Hot Prowl // MOTOR VEHICLE THEFT,BURGLARY,Burglary-Hot Prowl,BURGLARY,Burglary-Hot Prowl,2024-02-06 03:00,2024-02-06 07:00,1100 Block Of  36TH ST,Non-reportable location,Open
11,2024-02-06 12:47,24-02-06-040606,2400578,THEFT-PETTY,Theft Petty - Plain,PROPERTY,Lost/Missing Property,THEFT-PETTY,Theft Petty - Plain,2024-02-06 11:00,2024-02-06 12:15,USC FITNESS CENTER,On Campus,Open
12,2024-02-06 10:46,24-02-06-040495,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-02-06 10:46,2024-02-06 10:46,SAN PABLO PARKING STRUCTURE,On Campus,CANCELLED EVENT
13,2024-02-06 09:57,24-02-06-040448,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-02-06 09:57,2024-02-06 09:57,SAN PABLO PARKING STRUCTURE,On Campus,UNABLE TO LOCATE - GONE ON ARRIVAL
14,2024-02-06 08:09,24-02-06-040364,2400577,TRAFFIC,Traffic Collision Without Injuries,PROPERTY,Damaged Property,TRAFFIC,Traffic Collision Without Injuries,2024-02-06 07:05,2024-02-06 07:14,TRADER JOE'S,On Campus,Open
15,2024-02-06 07:43,24-02-06-040355,2400576,TRAFFIC,Traffic Collision Without Injuries,TRAFFIC,Traffic Collision Without Injuries,TRAFFIC,Traffic Collision Without Injuries,2024-02-06 07:30,2024-02-06 07:30,3400 Block Of  GRAND AV,Non-campus building or property,Open
16,2024-02-06 01:30,24-02-06-040071,2400575,FIRE,Alarm Activation // VANDALISM,FIRE,Alarm Activation,FIRE,Alarm Activation,2024-02-06 01:25,2024-02-06 01:25,UNIVERSITY RESIDENCE HALL,On Campus Residential Facility,Open
17,2024-02-05 22:02,24-02-05-039890,2400574,ALARM RESPONSE,Carbon Monoxide Alarm,ALARM RESPONSE,Carbon Monoxide Alarm,ALARM RESPONSE,Carbon Monoxide Alarm,2024-02-05 22:02,2024-02-05 22:02,LA SORBONNE APARTMENTS,On Campus Residential Facility,Open
18,2024-02-05 20:05,24-02-05-039783,2400573,FIRE,Alarm Activation,FIRE,Alarm Activation,FIRE,Alarm Activation,2024-02-05 20:05,2024-02-05 20:05,USC HOTEL,On Campus Residential Facility,Open
